carrera,institucion,acreditada_desde,acreditada_hasta,enlace,documento_acreditador,Acreditación institución
Diseño Gráfico,IP SANTO TOMAS,2016,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo,
Diseño,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,2015,2022,http://uctransparente.uc.cl/index.php?option=com_docman&task=doc_download&gid=571&Itemid=,Acuerdo,
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,2013,2018,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N24%20Diseno%20Grafico%20PUCV.pdf,Acuerdo,
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,2013,2018,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N25%20Diseno%20Industrial%20PUCV.pdf,Acuerdo,
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,2016,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2017/03/Acuerdo-N%C2%BA464.pdf,Acuerdo,
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION",-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Gráfico,UNIVERSIDAD DE CHILE,2012,2020,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N20%20Diseno%20U%20Chile.pdf,Acuerdo,
Diseño Industrial,UNIVERSIDAD DE CHILE,2012,2017,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N20%20Diseno%20U%20Chile.pdf,Acuerdo,
Diseño Teatral,UNIVERSIDAD DE CHILE,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,2016,2020,http://www.acreditaccion.cl/dictamenes/Resolucion_de_Acreditacion_N583_Diseno_ULS.pdf,Acuerdo,
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
